label,cityLabel,countryLabel
2014年冬季奧林匹克運動會挪威代表團,Norway at the 2014 Winter Olympics,Norway
2014年冬季奧林匹克運動會以色列代表團,Israel at the 2014 Winter Olympics,Israel
2014年冬季奧林匹克運動會德國代表團,Germany at the 2014 Winter Olympics,Germany
2004年夏季奧林匹克運動會中華台北代表團,Chinese Taipei at the 2004 Summer Olympics,Taiwan
1924年冬季奥林匹克运动会法国代表团,France at the 1924 Winter Olympics,France
1972年冬季奧林匹克運動會中華民國代表團,Republic of China at the 1972 Winter Olympics,Japan
2010年冬季奧林匹克運動會日本代表團,Japan at the 2010 Winter Olympics,Japan
1924年冬季奥林匹克运动会挪威代表团,Norway at the 1924 Winter Olympics,Norway
2010年冬季奧林匹克運動會日本代表團,Japan at the 2010 Winter Olympics,Canada
1964年夏季奥林匹克运动会中华民国代表团,Taiwan at the 1964 Summer Olympics,Japan
2014年冬季奧林匹克運動會哈薩克代表團,Kazakhstan at the 2014 Winter Olympics,Kazakhstan
2014年冬季奧林匹克運動會義大利代表團,Italy at the 2014 Winter Olympics,Italy
2014年冬季奧林匹克運動會美國代表團,United States at the 2014 Winter Olympics,United States of America
2014年冬季奧林匹克運動會中國代表團,China at the 2014 Winter Olympics,People's Republic of China
1998年冬季奥林匹克运动会蒙古代表团,Mongolia at the 1998 Winter Olympics,Japan
2008年夏季奥林匹克运动会智利代表团,Chile at the 2008 Summer Olympics,Chile
1972年夏季奧林匹克運動會中華民國代表團,Republic of China at the 1972 Summer Olympics,Germany
2014年冬季奧林匹克運動會亞美尼亞代表團,Armenia at the 2014 Winter Olympics,Armenia
2008年夏季奥林匹克运动会斐济代表团,Fiji at the 2008 Summer Olympics,Fiji
2008年夏季奥林匹克运动会美属萨摩亚代表团,American Samoa at the 2008 Summer Olympics,United States of America
2014年冬季奥林匹克运动会汤加代表团,Tonga at the 2014 Winter Olympics,Tonga
2018年冬季奥林匹克运动会俄罗斯代表团,Russia at the 2018 Winter Olympics,Russia
2014年冬季奥林匹克运动会津巴布韦代表团,Zimbabwe at the 2014 Winter Olympics,Zimbabwe
1960年冬季奥林匹克运动会苏联代表团,Soviet Union at the 1960 Winter Olympics,Soviet Union
1968年夏季奥林匹克运动会中华民国代表团,Taiwan at the 1968 Summer Olympics,Taiwan
1998年冬季奧林匹克運動會中華台北代表團,Chinese Taipei at the 1998 Winter Olympics,Japan
2008年夏季奥林匹克运动会乌兹别克斯坦代表团,Uzbekistan at the 2008 Summer Olympics,Uzbekistan
1964年夏季奧林匹克運動會香港代表團,Hong Kong at the 1964 Summer Olympics,Japan
2010年冬季奥林匹克运动会阿尔巴尼亚代表团,Albania at the 2010 Winter Olympics,Albania
2010年冬季奥林匹克运动会阿尔巴尼亚代表团,Albania at the 2010 Winter Olympics,Canada
2010年冬季奥林匹克运动会中国代表团,China at the 2010 Winter Olympics,Canada
2010年冬季奧林匹克運動會中華台北代表團,Chinese Taipei at the 2010 Winter Olympics,Canada
2010年冬季奧林匹克運動會哈薩克代表團,Kazakhstan at the 2010 Winter Olympics,Canada
2002年冬季奧林匹克運動會中國香港代表團,Hong Kong at the 2002 Winter Olympics,United States of America
2014年冬季奧林匹克運動會土耳其代表團,Turkey at the 2014 Winter Olympics,Turkey
2014年冬季奧林匹克運動會阿根廷代表團,Argentina at the 2014 Winter Olympics,Argentina
2006年冬季奥林匹克运动会荷兰代表团,Netherlands at the 2006 Winter Olympics,Netherlands
2006年冬季奥林匹克运动会阿尔巴尼亚代表团,Albania at the 2006 Winter Olympics,Albania
2006年冬季奥林匹克运动会德国代表团,Germany at the 2006 Winter Olympics,Germany
1998年冬季奥林匹克运动会安道尔代表团,Andorra at the 1998 Winter Olympics,Japan
2006年冬季奧林匹克運動會日本代表團,Japan at the 2006 Winter Olympics,Japan
2010年冬季奥林匹克运动会中国香港代表团,Hong Kong at the 2010 Winter Olympics,Canada
2010年冬季奥林匹克运动会黑山代表团,Montenegro at the 2010 Winter Olympics,Canada
1998年冬季奥林匹克运动会安道尔代表团,Andorra at the 1998 Winter Olympics,Andorra
2012年夏季奧林匹克運動會烏茲別克代表團,Uzbekistan at the 2012 Summer Olympics,Uzbekistan
1960年夏季奧林匹克運動會中華民國代表團,Republic of China at the 1960 Summer Olympics,Taiwan
2002年冬季奥林匹克运动会尼泊尔代表团,Nepal at the 2002 Winter Olympics,United States of America
1956年冬季奥林匹克运动会苏联代表团,Soviet Union at the 1956 Winter Olympics,Soviet Union
2004年夏季奥林匹克运动会中国代表团,China at the 2004 Summer Olympics,People's Republic of China
2014年冬季奧林匹克運動會波蘭代表團,Poland at the 2014 Winter Olympics,Poland
2014年冬季奧林匹克運動會斯洛維尼亞代表團,Slovenia at the 2014 Winter Olympics,Slovenia
1988年冬季奧林匹克運動會中華台北代表團,Chinese Taipei at the 1988 Winter Olympics,Canada
2014年冬季奧林匹克運動會韓國代表團,South Korea at the 2014 Winter Olympics,South Korea
1924年冬季奥林匹克运动会加拿大代表团,Canada at the 1924 Winter Olympics,Canada
1924年冬季奥林匹克运动会美国代表团,United States at the 1924 Winter Olympics,United States of America
2004年夏季奥林匹克运动会日本代表团,Japan at the 2004 Summer Olympics,Japan
2014年冬季奧林匹克運動會百慕達代表團,Bermuda at the 2014 Winter Olympics,United Kingdom
2008年夏季奥林匹克运动会丹麦代表团,Denmark at the 2008 Summer Olympics,Denmark
1924年冬季奥林匹克运动会比利时代表团,Belgium at the 1924 Winter Olympics,Belgium
2006年冬季奥林匹克运动会阿尔及利亚代表团,Algeria at the 2006 Winter Olympics,Algeria
1924年冬季奥林匹克运动会英国代表团,Great Britain at the 1924 Winter Olympics,United Kingdom
1924年冬季奥林匹克运动会奥地利代表团,Austria at the 1924 Winter Olympics,Austria
1924年冬季奥林匹克运动会瑞士代表团,Switzerland at the 1924 Winter Olympics,Switzerland
1948年冬季奥林匹克运动会阿根廷代表团,Argentina at the 1948 Winter Olympics,Argentina
2010年冬季奥林匹克运动会埃塞俄比亚代表团,Ethiopia at the 2010 Winter Olympics,Canada
2010年冬季奥林匹克运动会尼泊尔代表团,Nepal at the 2010 Winter Olympics,Canada
2010年冬季奧林匹克運動會塞爾維亞代表團,Serbia at the 2010 Winter Olympics,Canada
1924年冬季奥林匹克运动会捷克斯洛伐克代表团,Czechoslovakia at the 1924 Winter Olympics,Czechoslovakia
2002年冬季奥林匹克运动会安道尔代表团,Andorra at the 2002 Winter Olympics,United States of America
2002年冬季奥林匹克运动会安道尔代表团,Andorra at the 2002 Winter Olympics,Andorra
2006年冬季奥林匹克运动会中国代表团,China at the 2006 Winter Olympics,People's Republic of China
1956年夏季奧林匹克運動會中華民國代表團,Republic of China at the 1956 Summer Olympics,Australia
2008年夏季奥林匹克运动会巴拿马代表团,Panama at the 2008 Summer Olympics,Panama
2014年冬季奧林匹克運動會加拿大代表團,Canada at the 2014 Winter Olympics,Canada
1992年冬季奧林匹克運動會中華台北代表團,Chinese Taipei at the 1992 Winter Olympics,France
2014年冬季奧林匹克運動會英屬維京群島代表團,British Virgin Islands at the 2014 Winter Olympics,United Kingdom
2006年冬季奥林匹克运动会埃塞俄比亚代表团,Ethiopia at the 2006 Winter Olympics,Ethiopia
2014年冬季奧林匹克運動會巴西代表團,Brazil at the 2014 Winter Olympics,Brazil
