label,cityLabel,city
石原慎太郎,Shintarō Ishihara,http://www.wikidata.org/entity/Q38849
大仲马,Alexandre Dumas,http://www.wikidata.org/entity/Q38337
吴丹,U Thant,http://www.wikidata.org/entity/Q1264
琳達·拉芙蕾絲,Linda Lovelace,http://www.wikidata.org/entity/Q407
路易·德賈梅士,Luís de Camões,http://www.wikidata.org/entity/Q590
赛日·甘斯布,Serge Gainsbourg,http://www.wikidata.org/entity/Q1698
亚当·斯密,Adam Smith,http://www.wikidata.org/entity/Q9381
威廉·莎士比亚,William Shakespeare,http://www.wikidata.org/entity/Q692
乔治·克莱斯勒,Georg Kreisler,http://www.wikidata.org/entity/Q45275
奧飛·普思樂,Otfried Preußler,http://www.wikidata.org/entity/Q44647
亨利·福特,Henry Ford,http://www.wikidata.org/entity/Q8768
维克多·雨果,Victor Hugo,http://www.wikidata.org/entity/Q535
马丁·路德,Martin Luther,http://www.wikidata.org/entity/Q9554
莎孚,Sappho,http://www.wikidata.org/entity/Q17892
夸梅·恩克鲁玛,Kwame Nkrumah,http://www.wikidata.org/entity/Q8620
弗兰克·赫伯特,Frank Herbert,http://www.wikidata.org/entity/Q7934
皮埃尔·特鲁多,Pierre Trudeau,http://www.wikidata.org/entity/Q8619
诺姆·乔姆斯基,Noam Chomsky,http://www.wikidata.org/entity/Q9049
亚历山达罗·孟佐尼,Alessandro Manzoni,http://www.wikidata.org/entity/Q1064
哈里·穆里施,Harry Mulisch,http://www.wikidata.org/entity/Q927
尼可罗·马基亚维利,Niccolò Machiavelli,http://www.wikidata.org/entity/Q1399
帕蒂·史密斯,Patti Smith,http://www.wikidata.org/entity/Q557
查爾斯·林德伯格,Charles Lindbergh,http://www.wikidata.org/entity/Q1618
查爾斯·阿茲納弗,Charles Aznavour,http://www.wikidata.org/entity/Q1785
达里奥·福,Dario Fo,http://www.wikidata.org/entity/Q765
路伊吉·皮兰德娄,Luigi Pirandello,http://www.wikidata.org/entity/Q1403
赫诺·塞尚,Renaud Séchan,http://www.wikidata.org/entity/Q1716
卡尔·亨利希·乌尔利克斯,Karl Heinrich Ulrichs,http://www.wikidata.org/entity/Q60318
塞巴斯蒂安·布兰特,Sebastian Brant,http://www.wikidata.org/entity/Q60351
克勞狄一世,Claudius,http://www.wikidata.org/entity/Q1411
马克尔,Aemilius Macer,http://www.wikidata.org/entity/Q8797
阿基米德,Archimedes,http://www.wikidata.org/entity/Q8739
乔万尼·薄伽丘,Giovanni Boccaccio,http://www.wikidata.org/entity/Q1402
卓斯坦·查拉,Tristan Tzara,http://www.wikidata.org/entity/Q16409
埃利·维瑟尔,Elie Wiesel,http://www.wikidata.org/entity/Q18391
秋田雨雀,Ujaku Akita,http://www.wikidata.org/entity/Q18349
贝尔塔·冯·苏特纳,Bertha von Suttner,http://www.wikidata.org/entity/Q18456
詹姆士·庫克·布朗,James Cooke Brown,http://www.wikidata.org/entity/Q18445
C·S·路易斯,C. S. Lewis,http://www.wikidata.org/entity/Q9204
伽卢斯,Cornelius Gallus,http://www.wikidata.org/entity/Q8825
伊曼努尔·康德,Immanuel Kant,http://www.wikidata.org/entity/Q9312
让-保罗·萨特,Jean-Paul Sartre,http://www.wikidata.org/entity/Q9364
路德维希·维特根斯坦,Ludwig Wittgenstein,http://www.wikidata.org/entity/Q9391
黑澤明,Akira Kurosawa,http://www.wikidata.org/entity/Q8006
鮑希斯·維昂,Boris Vian,http://www.wikidata.org/entity/Q7833
